#Char	Unicode	Big5
敬	656C	V
敱	6571	
敲	6572	V
整	6574	V
敵	6575	V
敷	6577	V
數	6578	V
斂	6582	V
斃	6583	V
文	6587	V
斌	658C	V
斐	6590	V
斑	6591	V
斗	6597	V
料	6599	V
斜	659C	V
斟	659F	V
斡	65A1	V
斤	65A4	V
斥	65A5	V
斧	65A7	V
斬	65AC	V
斯	65AF	V
新	65B0	V
斷	65B7	V
方	65B9	V
於	65BC	V
施	65BD	V
旁	65C1	V
旅	65C5	V
旋	65CB	V
族	65CF	V
旗	65D7	V
既	65E2	V
日	65E5	V
旦	65E6	V
旨	65E8	V
早	65E9	V
旬	65EC	V
旭	65ED	V
旱	65F1	V
旺	65FA	V
昂	6602	V
昆	6606	V
昇	6607	V
昊	660A	V
昌	660C	V
明	660E	V
昏	660F	V
易	6613	V
昔	6614	V
星	661F	V
映	6620	V
春	6625	V
昧	6627	V
昨	6628	V
昭	662D	V
是	662F	V
昱	6631	V
晁	6641	V
時	6642	V
晃	6643	V
晉	6649	V
晏	664F	V
晚	665A	V
晝	665D	V
晟	665F	V
晡	6661	V
晨	6668	V
晬	666C	V
普	666E	V
景	666F	V
晴	6674	V
晶	6676	V
智	667A	V
晾	667E	V
暇	6687	V
暈	6688	V
暉	6689	V
暑	6691	V
暖	6696	V
暗	6697	V
暝	669D	V
暢	66A2	V
暨	66A8	V
暫	66AB	V
暮	66AE	V
暱	66B1	V
暴	66B4	V
曆	66C6	V
曉	66C9	V
曖	66D6	V
曜	66DC	V
曝	66DD	V
曠	66E0	V
曰	66F0	V
曲	66F2	V
更	66F4	V
曷	66F7	V
書	66F8	V
曹	66F9	V
曼	66FC	V
曾	66FE	V
替	66FF	V
最	6700	V
會	6703	V
月	6708	V
有	6709	V
朋	670B	V
服	670D	V
朒	6712	V
朔	6714	V
朕	6715	V
朗	6717	V
望	671B	V
朝	671D	V
期	671F	V
木	6728	V
未	672A	V
末	672B	V
本	672C	V
札	672D	V
朱	6731	V
朴	6734	V
朽	673D	V
杆	6746	V
杉	6749	V
李	674E	V
杏	674F	V
材	6750	V
村	6751	V
杓	6753	V
杖	6756	V
杙	6759	V
杜	675C	V
杞	675E	V
束	675F	V
杭	676D	V
杮	676E	
杯	676F	V
杰	6770	V
東	6771	V
杵	6775	V
杷	6777	V
松	677E	V
板	677F	V
枇	6787	V
枉	6789	V
枋	678B	V
析	6790	V
枕	6795	V
林	6797	V
果	679C	V
枝	679D	V
枯	67AF	V
枴	67B4	V
枵	67B5	V
架	67B6	V
枷	67B7	V
枸	67B8	V
柄	67C4	V
柏	67CF	V
某	67D0	V
柑	67D1	V
染	67D3	V
柔	67D4	V
柙	67D9	V
柚	67DA	V
柝	67DD	V
查	67E5	V
柩	67E9	V
柫	67EB	V
柬	67EC	V
柯	67EF	V
柱	67F1	V
柳	67F3	V
柴	67F4	V
柵	67F5	V
柿	67FF	V
栓	6813	V
栗	6817	V
校	6821	V
株	682A	V
栱	6831	V
核	6838	V
根	6839	V
格	683C	V
栽	683D	V
栿	683F	
桀	6840	V
桂	6842	V
桃	6843	V
桅	6845	V
框	6846	V
案	6848	V
桌	684C	V
桐	6850	V
桑	6851	V
桔	6854	V
桮	686E	V
桱	6871	V
桶	6876	V
桷	6877	V
桸	6878	V
桿	687F	V
梁	6881	V
梅	6885	V
梓	6893	V
梔	6894	V
梗	6897	V
梘	6898	
條	689D	V
梟	689F	V
梢	68A2	V
梧	68A7	V
梨	68A8	V
梭	68AD	V
梯	68AF	V
械	68B0	V
梳	68B3	V
梵	68B5	V
棄	68C4	V
棉	68C9	V
棋	68CB	V
棍	68CD	V
棑	68D1	V
棒	68D2	V
棕	68D5	V
棗	68D7	V
棚	68DA	V
棟	68DF	V
棠	68E0	V
棧	68E7	V
森	68EE	V
棰	68F0	V
棲	68F2	V
棺	68FA	V
椅	6905	V
植	690D	V
椏	690F	V
椒	6912	V
椪	692A	V
椰	6930	V
椹	6939	V
楊	694A	V
楓	6953	V
楔	6954	V
楗	6957	V
楚	695A	V
楝	695D	V
楞	695E	V
楠	6960	V
楣	6963	V
楦	6966	V
楬	696C	V
業	696D	V
極	6975	V
楷	6977	V
楹	6979	V
概	6982	V
榆	6986	V
榔	6994	V
榕	6995	V
榛	699B	V
榜	699C	V
榨	69A8	V
榫	69AB	V
榮	69AE	V
榴	69B4	V
榻	69BB	V
構	69CB	V
槌	69CC	V
槍	69CD	V
槐	69D0	V
槓	69D3	V
槔	69D4	V
槤	69E4	V
槳	69F3	V
槺	69FA	
槽	69FD	V
樂	6A02	V
樊	6A0A	V
樑	6A11	V
樓	6A13	V
標	6A19	V
樞	6A1E	V
樟	6A1F	V
樠	6A20	V
模	6A21	V
樣	6A23	V
樵	6A35	V
樸	6A38	V
樹	6A39	V
樺	6A3A	V
橂	6A42	
橄	6A44	V
橋	6A4B	V
橐	6A50	V
橛	6A5B	V
機	6A5F	V
橫	6A6B	V
檀	6A80	V
檔	6A94	V
檜	6A9C	V
檠	6AA0	V
檢	6AA2	V
檨	6AA8	V
檫	6AAB	
檬	6AAC	V
檯	6AAF	V
檳	6AB3	V
檸	6AB8	V
櫃	6AC3	V
櫓	6AD3	V
櫞	6ADE	V
櫥	6AE5	V
櫳	6AF3	V
櫻	6AFB	V
櫼	6AFC	V
欄	6B04	V
欉	6B09	V
權	6B0A	V
欖	6B16	V
欠	6B20	V
次	6B21	V
欣	6B23	V
欱	6B31	V
欲	6B32	V
欶	6B36	V
欸	6B38	V
欹	6B39	V
欺	6B3A	V
欽	6B3D	V
款	6B3E	V
歁	6B41	V
歆	6B46	V
歇	6B47	V
歉	6B49	V
歌	6B4C	V
歎	6B4E	V
歐	6B50	V
歕	6B55	V
歡	6B61	V
止	6B62	V
正	6B63	V
此	6B64	V
步	6B65	V
武	6B66	V
歧	6B67	V
歪	6B6A	V
歲	6B72	V
歷	6B77	V
歸	6B78	V
歹	6B79	V
死	6B7B	V
殃	6B83	V
殉	6B89	V
殊	6B8A	V
殕	6B95	V
殖	6B96	V
殗	6B97	V
殘	6B98	V
殭	6BAD	V
殮	6BAE	V
殯	6BAF	V
段	6BB5	V
殷	6BB7	V
殺	6BBA	V
殼	6BBC	V
殿	6BBF	V
毀	6BC0	V
毅	6BC5	V
毋	6BCB	V
母	6BCD	V
每	6BCF	V
毒	6BD2	V
比	6BD4	V
毛	6BDB	V
毫	6BEB	V
毬	6BEC	V
毯	6BEF	V
毽	6BFD	V
毿	6BFF	V
氅	6C05	V
氈	6C08	V
氏	6C0F	V
民	6C11	V
氛	6C1B	V
氣	6C23	V
氧	6C27	V
水	6C34	V
永	6C38	V
汁	6C41	V
求	6C42	V
汐	6C50	V
汗	6C57	V
汙	6C59	V
江	6C5F	V
池	6C60	V
污	6C61	V
汪	6C6A	V
汫	6C6B	V
汰	6C70	V
汴	6C74	V
決	6C7A	V
汽	6C7D	V
沁	6C81	V
沃	6C83	V
沈	6C88	V
沉	6C89	V
沌	6C8C	V
沐	6C90	V
沒	6C92	V
沓	6C93	V
沕	6C95	V
沖	6C96	V
沙	6C99	V
沛	6C9B	V
沢	6CA2	
沫	6CAB	V
沬	6CAC	V
河	6CB3	V
沸	6CB8	V
油	6CB9	V
治	6CBB	V
沼	6CBC	V
沾	6CBE	V
沿	6CBF	V
況	6CC1	V
泄	6CC4	V
泅	6CC5	V
泉	6CC9	V
泊	6CCA	V
泌	6CCC	V
泏	6CCF	V
泓	6CD3	V
泔	6CD4	V
法	6CD5	V
泛	6CDB	V
泡	6CE1	V
波	6CE2	V
泣	6CE3	V
泥	6CE5	V
注	6CE8	V
泰	6CF0	V
泱	6CF1	V
泳	6CF3	V
泵	6CF5	V
洄	6D04	V
洋	6D0B	V
洒	6D12	V
洗	6D17	V
洘	6D18	V
洛	6D1B	V
洞	6D1E	V
津	6D25	V
洩	6D29	V
洪	6D2A	V
洲	6D32	V
活	6D3B	V
派	6D3E	V
流	6D41	V
浙	6D59	V
浞	6D5E	V
浡	6D61	V
浦	6D66	V
浩	6D69	V
浪	6D6A	V
浮	6D6E	V
浴	6D74	V
海	6D77	V
浸	6D78	V
涂	6D82	V
消	6D88	V
涉	6D89	V
涎	6D8E	V
涗	6D97	V
涯	6DAF	V
液	6DB2	V
涵	6DB5	V
涸	6DB8	V
涼	6DBC	V
淇	6DC7	V
淋	6DCB	V
淑	6DD1	V
淒	6DD2	V
淘	6DD8	V
淚	6DDA	V
淡	6DE1	V
淨	6DE8	V
淪	6DEA	V
淫	6DEB	V
淮	6DEE	V
深	6DF1	V
淵	6DF5	V
混	6DF7	V
淹	6DF9	V
淺	6DFA	V
添	6DFB	V
清	6E05	V
減	6E1B	V
渝	6E1D	V
渡	6E21	V
渣	6E23	V
渧	6E27	V
測	6E2C	V
港	6E2F	V
渴	6E34	V
游	6E38	V
渺	6E3A	V
渾	6E3E	V
湖	6E56	V
湘	6E58	V
湠	6E60	V
湢	6E62	V
湧	6E67	V
湯	6E6F	V
湳	6E73	V
溉	6E89	V
源	6E90	V
準	6E96	V
溜	6E9C	V
溝	6E9D	V
溡	6EA1	V
溢	6EA2	V
溪	6EAA	V
溫	6EAB	V
溯	6EAF	V
溶	6EB6	V
溺	6EBA	V
溼	6EBC	V
滂	6EC2	V
滄	6EC4	V
滅	6EC5	V
滇	6EC7	V
滋	6ECB	V
滑	6ED1	V
滒	6ED2	V
滓	6ED3	V
滬	6EEC	V
滯	6EEF	V
滲	6EF2	V
滴	6EF4	V
滷	6EF7	V
滸	6EF8	V
滾	6EFE	V
滿	6EFF	V
漁	6F01	V
漂	6F02	V
漆	6F06	V
漉	6F09	V
漏	6F0F	V
演	6F14	V
漖	6F16	
漚	6F1A	V
漠	6F20	V
漢	6F22	V
漩	6F29	V
漫	6F2B	V
漱	6F31	V
漲	6F32	V
漳	6F33	V
漸	6F38	V
漿	6F3F	V
潑	6F51	V
潔	6F54	V
潘	6F58	V
潛	6F5B	V
潢	6F62	V
潤	6F64	V
潦	6F66	V
潭	6F6D	V
潮	6F6E	V
潰	6F70	V
潲	6F72	V
潺	6F7A	V
澀	6F80	V
澄	6F84	V
澈	6F88	V
澍	6F8D	V
澎	6F8E	V
澗	6F97	V
澡	6FA1	V
澤	6FA4	V
澩	6FA9	V
澳	6FB3	V
澹	6FB9	V
激	6FC0	V
濁	6FC1	V
濃	6FC3	V
濆	6FC6	V
濟	6FDF	V
濤	6FE4	V
濫	6FEB	V
濱	6FF1	V
濺	6FFA	V
濾	6FFE	V
瀉	7009	V
瀘	7018	V
瀚	701A	V
瀟	701F	V
瀧	7027	V
瀨	7028	V
瀳	7033	V
瀾	703E	V
灇	7047	
灌	704C	V
灑	7051	V
灘	7058	V
灣	7063	V
火	706B	V
灰	7070	V
灶	7076	V
灸	7078	V
災	707D	V
炊	708A	V
炎	708E	V
炒	7092	V
炕	7095	V
炙	7099	V
炤	70A4	V
炫	70AB	V
炭	70AD	V
炮	70AE	V
炰	70B0	V
炱	70B1	V
炳	70B3	V
炸	70B8	V
為	70BA	V
烈	70C8	V
烌	70CC	
烏	70CF	V
烘	70D8	V
烙	70D9	V
烰	70F0	V
烹	70F9	V
焐	7110	V
焗	7117	V
焙	7119	V
焚	711A	V
焠	7120	V
無	7121	V
焦	7126	V
焰	7130	V
焱	7131	V
然	7136	V
煉	7149	V
煌	714C	V
煎	714E	V
煏	714F	
煙	7159	V
煞	715E	V
煠	7160	V
煡	7161	V
煤	7164	V
煥	7165	V
照	7167	V
煨	7168	V
煩	7169	V
煬	716C	V
煮	716E	V
煽	717D	V
熁	7181	V
熄	7184	V
熇	7187	V
熊	718A	V
熏	718F	V
熔	7194	V
熗	7197	V
熟	719F	V
熥	71A5	V
熨	71A8	V
熬	71AC	V
熱	71B1	V
燃	71C3	V
燄	71C4	V
燈	71C8	V
燉	71C9	V
燒	71D2	V
燕	71D5	V
燖	71D6	V
燙	71D9	V
燜	71DC	V
營	71DF	V
燥	71E5	V
燦	71E6	V
燭	71ED	V
燻	71FB	V
爁	7201	V
爆	7206	V
爍	720D	V
爐	7210	V
爛	721B	V
爪	722A	V
爬	722C	V
爭	722D	V
爵	7235	V
父	7236	V
爸	7238	V
爹	7239	V
爺	723A	V
爻	723B	V
爽	723D	V
爾	723E	V
爿	723F	V
牆	7246	V
片	7247	V
版	7248	V
牌	724C	V
牒	7252	V
牘	7258	V
牙	7259	V
牚	725A	V
牛	725B	V
牟	725F	V
牡	7261	V
牢	7262	V
牧	7267	V
物	7269	V
牲	7272	V
特	7279	V
牽	727D	V
犀	7280	V
犁	7281	V
犅	7285	V
犒	7292	V
犢	72A2	V
犧	72A7	V
犬	72AC	V
犯	72AF	V
狀	72C0	V
狂	72C2	V
狄	72C4	V
狎	72CE	V
狐	72D0	V
狗	72D7	V
狡	72E1	V
狸	72F8	V
狹	72F9	V
狼	72FC	V
狽	72FD	V
猊	730A	V
猌	730C	V
猖	7316	V
猛	731B	V
猜	731C	V
猩	7329	V
猫	732B	
猴	7334	V
猶	7336	V
猾	733E	V
獄	7344	V
獅	7345	V
獎	734E	V
獠	7360	V
獨	7368	V
獵	7375	V
獸	7378	V
獺	737A	V
獻	737B	V
玄	7384	V
率	7387	V
玉	7389	V
王	738B	V
玩	73A9	V
玫	73AB	V
玲	73B2	V
玻	73BB	V
珊	73CA	V
珍	73CD	V
珞	73DE	V
珠	73E0	V
班	73ED	V
珮	73EE	V
現	73FE	V
球	7403	V
理	7406	V
琉	7409	V
琢	7422	V
琦	7426	V
琪	742A	V
琳	7433	V
琴	7434	V
琵	7435	V
琶	7436	V
瑋	744B	V
瑕	7455	V
瑙	7459	V
瑚	745A	V
瑛	745B	V
瑜	745C	V
瑞	745E	V
瑟	745F	V
瑣	7463	V
瑤	7464	V
瑩	7469	V
瑪	746A	V
瑯	746F	V
瑰	7470	V
璃	7483	V
璇	7487	V
璞	749E	V
環	74B0	V
璿	74BF	V
瓊	74CA	V
瓏	74CF	V
瓜	74DC	V
瓢	74E2	V
瓣	74E3	V
瓤	74E4	V
瓦	74E6	V
瓶	74F6	V
瓷	74F7	V
甄	7504	V
甌	750C	V
甍	750D	V
甓	7513	V
甕	7515	V
甘	7518	V
甚	751A	V
甜	751C	V
生	751F	V
產	7522	V
甥	7525	V
甦	7526	V
用	7528	V
甪	752A	V
甫	752B	V
甭	752D	V
田	7530	V
由	7531	V
甲	7532	V
申	7533	V
男	7537	V
町	753A	V
界	754C	V
畏	754F	V
畔	7554	V
留	7559	V
畚	755A	V
畜	755C	V
畝	755D	V
畢	7562	V
略	7565	V
番	756A	V
畫	756B	V
異	7570	V
當	7576	V
疆	7586	V
疊	758A	V
疏	758F	V
疑	7591	V
疔	7594	V
疕	7595	V
疤	75A4	V
疥	75A5	V
疧	75A7	V
疫	75AB	V
疱	75B1	
疲	75B2	V
疳	75B3	V
疵	75B5	V
疶	75B6	V
疸	75B8	V
疹	75B9	V
疼	75BC	V
疾	75BE	V
痀	75C0	V
痃	75C3	
病	75C5	V
症	75C7	V
痔	75D4	V
痕	75D5	V
痘	75D8	V
痚	75DA	V
痛	75DB	V
痞	75DE	V
痟	75DF	V
痠	75E0	V
痡	75E1	V
痢	75E2	V
痣	75E3	V
痧	75E7	V
痰	75F0	V
痱	75F1	V
痲	75F2	V
痴	75F4	V
痹	75F9	V
痺	75FA	V
瘋	760B	V
瘍	760D	V
瘟	761F	V
瘡	7621	V
瘤	7624	V
瘦	7626	V
瘰	7630	V
瘸	7638	V
瘼	763C	V
癀	7640	
療	7642	V
癆	7646	V
癉	7649	V
癌	764C	V
癖	7656	V
癗	7657	V
癜	765C	V
癡	7661	V
癢	7662	V
癩	7669	V
癬	766C	V
癮	766E	V
癰	7670	V
癲	7672	V
癸	7678	V
登	767B	V
發	767C	V
白	767D	V
百	767E	V
皂	7682	V
的	7684	V
皆	7686	V
皇	7687	V
皓	7693	V
皮	76AE	V
皺	76BA	V
盆	76C6	V
盈	76C8	V
益	76CA	V
盍	76CD	V
盒	76D2	V
盔	76D4	V
盛	76DB	V
盜	76DC	V
盞	76DE	V
盟	76DF	V
盡	76E1	V
監	76E3	V
盤	76E4	V
盧	76E7	V
盪	76EA	V
目	76EE	V
盲	76F2	V
直	76F4	V
相	76F8	V
盹	76F9	V
盼	76FC	V
盾	76FE	V
省	7701	V
眉	7709	V
看	770B	V
真	771F	V
眠	7720	V
眨	7728	V
眩	7729	V
眯	772F	V
眵	7735	V
眷	7737	V
眼	773C	V
眾	773E	V
着	7740	
睏	774F	V
睚	775A	V
睛	775B	V
睡	7761	V
督	7763	V
睦	7766	V
睨	7768	V
睫	776B	V
睭	776D	V
睹	7779	V
瞅	7785	V
瞌	778C	V
瞞	779E	V
瞠	77A0	V
瞪	77AA	V
瞬	77AC	V
瞭	77AD	V
瞳	77B3	V
瞻	77BB	V
瞿	77BF	V
矇	77C7	V
矛	77DB	V
矜	77DC	V
矢	77E2	V
矣	77E3	V
知	77E5	V
矩	77E9	V
短	77ED	V
矮	77EE	V
矯	77EF	V
石	77F3	V
矸	77F8	V
砂	7802	V
砉	7809	V
砌	780C	V
砍	780D	V
砒	7812	V
研	7814	V
砛	781B	
砧	7827	V
砲	7832	V
破	7834	V
硃	7843	V
硐	7850	V
硓	7853	
硝	785D	V
硞	785E	V
硩	7869	V
硫	786B	V
硬	786C	V
硯	786F	V
硼	787C	V
硿	787F	V
碇	7887	V
碌	788C	V
碎	788E	V
碑	7891	V
碓	7893	V
碖	7896	V
碗	7897	V
碟	789F	V
碡	78A1	V
碣	78A3	V
碧	78A7	V
碩	78A9	V
碭	78AD	V
碰	78B0	V
碳	78B3	V
確	78BA	V
碼	78BC	V
碾	78BE	V
磁	78C1	V
磅	78C5	V
磊	78CA	V
磋	78CB	V
磐	78D0	V
磕	78D5	V
磚	78DA	V
磟	78DF	V
磨	78E8	V
磺	78FA	V
礁	7901	V
礎	790E	V
礐	7910	V
礙	7919	V
礤	7924	V
礦	7926	V
礪	792A	V
礬	792C	V
礱	7931	V
示	793A	V
社	793E	V
祀	7940	V
祈	7948	V
祉	7949	V
祐	7950	V
祕	7955	V
祖	7956	V
祚	795A	V
祝	795D	V
神	795E	V
祟	795F	V
祠	7960	V
祥	7965	V
祧	7967	V
票	7968	V
祭	796D	V
祺	797A	V
祿	797F	V
禁	7981	V
禍	798D	V
禎	798E	V
福	798F	V
禦	79A6	V
禧	79A7	V
禪	79AA	V
禮	79AE	V
禱	79B1	V
禹	79B9	V
禽	79BD	V
禾	79BE	V
禿	79BF	V
秀	79C0	V
私	79C1	V
秉	79C9	V
秋	79CB	V
科	79D1	V
秒	79D2	V
秘	79D8	V
租	79DF	V
秤	79E4	V
秦	79E6	V
秧	79E7	V
秩	79E9	V
秪	79EA	V
秫	79EB	V
秮	79EE	V
移	79FB	V
稀	7A00	V
稅	7A05	V
稈	7A08	V
程	7A0B	V
稗	7A17	V
稚	7A1A	V
稜	7A1C	V
稟	7A1F	V
稠	7A20	V
種	7A2E	V
稱	7A31	V
稷	7A37	V
稻	7A3B	V
稽	7A3D	V
稿	7A3F	V
穀	7A40	V
穆	7A46	V
穌	7A4C	V
積	7A4D	V
穎	7A4E	V
穗	7A57	V
穡	7A61	V
穢	7A62	V
穩	7A69	V
穫	7A6B	V
穴	7A74	V
究	7A76	V
穹	7A79	V
空	7A7A	V
穿	7A7F	V
突	7A81	V
窄	7A84	V
窈	7A88	V
窒	7A92	V
窕	7A95	V
窗	7A97	V
窘	7A98	V
窞	7A9E	V
窟	7A9F	V
窣	7AA3	V
窩	7AA9	V
窮	7AAE	V
窯	7AAF	V
窵	7AB5	V
窸	7AB8	V
窺	7ABA	V
竄	7AC4	V
竅	7AC5	V
竇	7AC7	V
竊	7ACA	V
立	7ACB	V
站	7AD9	V
竟	7ADF	V
章	7AE0	V
童	7AE5	V
竭	7AED	V
端	7AEF	V
競	7AF6	V
竹	7AF9	V
竺	7AFA	V
竿	7AFF	V
笆	7B06	V
笈	7B08	V
笊	7B0A	V
笑	7B11	V
笒	7B12	V
笙	7B19	V
笛	7B1B	V
笠	7B20	V
符	7B26	V
笨	7B28	V
第	7B2C	V
笱	7B31	V
筅	7B45	V
筆	7B46	V
等	7B49	V
筊	7B4A	V
筋	7B4B	V
筍	7B4D	V
筐	7B50	V
筒	7B52	V
答	7B54	V
策	7B56	V
筠	7B60	V
筧	7B67	V
筵	7B75	V
箅	7B85	V
箋	7B8B	V
箍	7B8D	V
箏	7B8F	V
箔	7B94	V
箕	7B95	V
算	7B97	V
箠	7BA0	V
管	7BA1	V
箬	7BAC	V
箭	7BAD	V
箱	7BB1	V
箴	7BB4	V
箸	7BB8	V
節	7BC0	V
範	7BC4	V
篇	7BC7	V
築	7BC9	V
篋	7BCB	V
篙	7BD9	V
篠	7BE0	V
篡	7BE1	V
篤	7BE4	V
篦	7BE6	V
篩	7BE9	V
篱	7BF1	V
篷	7BF7	V
篾	7BFE	V
簇	7C07	V
簡	7C21	V
簪	7C2A	V
簫	7C2B	V
簷	7C37	V
簸	7C38	V
簽	7C3D	V
簾	7C3E	V
簿	7C3F	V
籃	7C43	V
籌	7C4C	V
籍	7C4D	V
籐	7C50	V
籗	7C57	V
籙	7C59	V
籠	7C60	V
籤	7C64	V
籬	7C6C	V
籮	7C6E	V
籲	7C72	V
米	7C73	V
粅	7C85	V
粉	7C89	V
粒	7C92	V
粕	7C95	V
粗	7C97	V
粞	7C9E	V
粟	7C9F	V
粧	7CA7	V
粩	7CA9	
粱	7CB1	V
粹	7CB9	V
粽	7CBD	V
精	7CBE	V
粿	7CBF	V
糊	7CCA	V
糋	7CCB	V
糍	7CCD	
糕	7CD5	V
糖	7CD6	V
糙	7CD9	V
糜	7CDC	V
糝	7CDD	V
糞	7CDE	V
糟	7CDF	V
糠	7CE0	V
糧	7CE7	V
糴	7CF4	V
糶	7CF6	V
系	7CFB	V
糾	7CFE	V
紀	7D00	V
紂	7D02	V
約	7D04	V
紅	7D05	V
紋	7D0B	V
納	7D0D	V
紐	7D10	V
純	7D14	V
紗	7D17	V
紙	7D19	V
級	7D1A	V
紛	7D1B	V
素	7D20	V
紡	7D21	V
索	7D22	V
紩	7D29	V
紫	7D2B	V
紬	7D2C	V
紮	7D2E	V
累	7D2F	V
細	7D30	V
紲	7D32	V
紳	7D33	V
紹	7D39	V
紺	7D3A	V
終	7D42	V
絃	7D43	V
組	7D44	V
絆	7D46	V
結	7D50	V
絕	7D55	V
絚	7D5A	
絞	7D5E	V
絡	7D61	V
絢	7D62	V
給	7D66	V
絨	7D68	V
絪	7D6A	V
絮	7D6E	V
統	7D71	V
絲	7D72	V
絳	7D73	V
絹	7D79	V
綁	7D81	V
經	7D93	V
綜	7D9C	V
綠	7DA0	V
綢	7DA2	V
維	7DAD	V
綰	7DB0	V
綱	7DB1	V
網	7DB2	V
綴	7DB4	V
綵	7DB5	V
綸	7DB8	V
綹	7DB9	V
綺	7DBA	V
綽	7DBD	V
綾	7DBE	V
綿	7DBF	V
緊	7DCA	V
緒	7DD2	V
線	7DDA	V
緝	7DDD	V
緞	7DDE	V
緟	7DDF	V
締	7DE0	V
緣	7DE3	V
編	7DE8	V
緩	7DE9	V
緯	7DEF	V
練	7DF4	V
緻	7DFB	V
縋	7E0B	V
縐	7E10	V
縒	7E12	V
縖	7E16	V
縛	7E1B	V
縣	7E23	V
縫	7E2B	V
縭	7E2D	V
縮	7E2E	V
縱	7E31	V
總	7E3D	V
績	7E3E	V
繁	7E41	V
繃	7E43	V
繆	7E46	V
繏	7E4F	
繐	7E50	V
織	7E54	V
繚	7E5A	V
繞	7E5E	V
繡	7E61	V
繩	7E69	V
繪	7E6A	V
繫	7E6B	V
繭	7E6D	V
繳	7E73	V
繼	7E7C	V
續	7E8C	V
纏	7E8F	V
纓	7E93	V
纖	7E96	V
纜	7E9C	V
缸	7F38	V
缺	7F3A	V
缽	7F3D	V
罈	7F48	V
罐	7F50	V
罔	7F54	V
罕	7F55	V
罟	7F5F	V
罨	7F68	V
罩	7F69	V
罪	7F6A	V
置	7F6E	V
罰	7F70	V
署	7F72	V
罵	7F75	V
罷	7F77	V
罾	7F7E	V
羅	7F85	V
羊	7F8A	V
羌	7F8C	V
美	7F8E	V
羓	7F93	
羔	7F94	V
羞	7F9E	V
群	7FA4	V
羨	7FA8	V
義	7FA9	V
羯	7FAF	V
羶	7FB6	V
羹	7FB9	V
羽	7FBD	V
翁	7FC1	V
翅	7FC5	V
翎	7FCE	V
習	7FD2	V
翔	7FD4	V
翕	7FD5	V
翟	7FDF	V
翠	7FE0	V
翡	7FE1	V
翩	7FE9	V
翰	7FF0	V
翱	7FF1	V
翳	7FF3	V
翸	7FF8	V
翹	7FF9	V
翻	7FFB	V
翼	7FFC	V
耀	8000	V
老	8001	V
考	8003	V
者	8005	V
耆	8006	V
而	800C	V
耍	800D	V
耎	800E	V
耐	8010	V
耕	8015	V
耘	8018	V
耙	8019	V
耞	801E	V
耳	8033	V
耶	8036	V
耽	803D	V
耿	803F	V
聆	8046	V
聊	804A	V
聖	8056	V
聘	8058	V
聚	805A	V
聞	805E	V
聬	806C	V
聯	806F	V
聰	8070	V
聲	8072	V
聳	8073	V
聶	8076	V
職	8077	V
聽	807D	V
聾	807E	V
聿	807F	V
肅	8085	V
肆	8086	V
肇	8087	V
肉	8089	V
肋	808B	V
肌	808C	V
肓	8093	V
肖	8096	V
肘	8098	V
肚	809A	V
肛	809B	V
肝	809D	V
股	80A1	V
肢	80A2	V
肥	80A5	V
肨	80A8	
肩	80A9	V
肭	80AD	V
肯	80AF	V
肱	80B1	V
育	80B2	V
肴	80B4	V
肺	80BA	V
胃	80C3	V
背	80CC	V
胎	80CE	V
胖	80D6	V
胘	80D8	V
胚	80DA	V
胛	80DB	V
胞	80DE	V
胡	80E1	V
胭	80ED	V
胮	80EE	
胰	80F0	V
胱	80F1	V
胳	80F3	V
胴	80F4	V
胸	80F8	V
能	80FD	V
胿	80FF	
脂	8102	V
脅	8105	V
脆	8106	V
脈	8108	V
脊	810A	V
脣	8123	V
脫	812B	V
脬	812C	V
脯	812F	V
脰	8130	V
脹	8139	V
脽	813D	V
脾	813E	V
腋	814B	V
腌	814C	V
腎	814E	V
腐	8150	V
腑	8151	V
腔	8154	V
腕	8155	V
腡	8161	V
腥	8165	V
腦	8166	V
腩	8169	V
腫	816B	V
腮	816E	V
腰	8170	V
腱	8171	V
腳	8173	V
腸	8178	V
腹	8179	V
腿	817F	V
膀	8180	V
膁	8181	
膈	8188	V
膋	818B	V
膎	818E	
膏	818F	V
膚	819A	V
膜	819C	V
膝	819D	V
膠	81A0	V
膣	81A3	V
膨	81A8	V
膩	81A9	V
膭	81AD	
膽	81BD	V
膿	81BF	V
臁	81C1	
臆	81C6	V
臉	81C9	V
臊	81CA	V
臍	81CD	V
臘	81D8	V
臟	81DF	V
臢	81E2	V
臣	81E3	V
臥	81E5	V
臧	81E7	V
臨	81E8	V
自	81EA	V
臭	81ED	V
至	81F3	V
致	81F4	V
臺	81FA	V
臼	81FC	V
舀	8200	V
舂	8202	V
舅	8205	V
與	8207	V
興	8208	V
舉	8209	V
舊	820A	V
舌	820C	V
舍	820D	V
舐	8210	V
舒	8212	V
舖	8216	V
舜	821C	V
舞	821E	V
舟	821F	V
舢	8222	V
舨	8228	V
航	822A	V
般	822C	V
舵	8235	V
舷	8237	V
船	8239	V
舺	823A	V
艇	8247	V
艋	824B	V
艙	8259	V
艚	825A	V
艦	8266	V
良	826F	V
艱	8271	V
色	8272	V
艷	8277	V
艾	827E	V
芋	828B	V
芍	828D	V
芎	828E	V
芒	8292	V
芙	8299	V
芝	829D	V
芟	829F	V
芡	82A1	V
芥	82A5	V
芫	82AB	V
芬	82AC	V
芭	82AD	V
花	82B1	V
芳	82B3	V
芷	82B7	V
芹	82B9	V
