#Char	Unicode	Big5
伏	4F0F	V
伐	4F10	V
休	4F11	V
伙	4F19	V
伨	4F28	
伯	4F2F	V
估	4F30	V
伴	4F34	V
伶	4F36	V
伸	4F38	V
伻	4F3B	V
似	4F3C	V
佃	4F43	V
但	4F46	V
佇	4F47	V
佈	4F48	V
位	4F4D	V
低	4F4E	V
住	4F4F	V
佐	4F50	V
佑	4F51	V
佔	4F54	V
何	4F55	V
佗	4F57	V
佘	4F58	V
余	4F59	V
佛	4F5B	V
作	4F5C	V
佟	4F5F	V
你	4F60	V
佩	4F69	V
佬	4F6C	V
佮	4F6E	V
佯	4F6F	V
佳	4F73	V
併	4F75	V
使	4F7F	V
來	4F86	V
例	4F8B	V
侍	4F8D	V
侗	4F97	V
供	4F9B	V
依	4F9D	V
侮	4FAE	V
侯	4FAF	V
侵	4FB5	V
侷	4FB7	V
侹	4FB9	V
便	4FBF	V
係	4FC2	V
促	4FC3	V
俄	4FC4	V
俊	4FCA	V
俍	4FCD	V
俏	4FCF	V
俐	4FD0	V
俗	4FD7	V
俘	4FD8	V
俚	4FDA	V
保	4FDD	V
俞	4FDE	V
俠	4FE0	V
信	4FE1	V
修	4FEE	V
俯	4FEF	V
俱	4FF1	V
俳	4FF3	V
俸	4FF8	V
俺	4FFA	V
倆	5006	V
倉	5009	V
個	500B	V
倌	500C	V
倍	500D	V
倏	500F	V
倒	5012	V
倖	5016	V
候	5019	V
倚	501A	V
借	501F	V
倡	5021	V
倦	5026	V
倩	5029	V
倪	502A	V
倫	502B	V
倭	502D	V
倯	502F	V
值	503C	V
偃	5043	V
假	5047	V
偉	5049	V
偌	504C	V
偏	504F	V
偕	5055	V
做	505A	V
停	505C	V
偝	505D	V
健	5065	V
側	5074	V
偵	5075	V
偶	5076	V
偷	5077	V
偽	507D	V
傀	5080	V
傅	5085	V
傍	508D	V
傑	5091	V
傖	5096	V
傘	5098	V
備	5099	V
傢	50A2	V
催	50AC	V
傱	50B1	V
傲	50B2	V
傳	50B3	V
債	50B5	V
傷	50B7	V
傾	50BE	V
僆	50C6	V
像	50CF	V
僑	50D1	V
僕	50D5	V
僚	50DA	V
僥	50E5	V
僧	50E7	V
僫	50EB	
僭	50ED	V
僵	50F5	V
價	50F9	V
僻	50FB	V
儀	5100	V
億	5104	V
儉	5109	V
儑	5111	V
儒	5112	V
儘	5118	V
償	511F	V
儡	5121	V
優	512A	V
儱	5131	V
儲	5132	V
儳	5133	V
儼	513C	V
允	5141	V
元	5143	V
兄	5144	V
充	5145	V
兆	5146	V
兇	5147	V
先	5148	V
光	5149	V
克	514B	V
兌	514C	V
免	514D	V
兒	5152	V
兔	5154	V
兜	515C	V
入	5165	V
內	5167	V
全	5168	V
兩	5169	V
八	516B	V
公	516C	V
六	516D	V
共	5171	V
兵	5175	V
其	5176	V
具	5177	V
典	5178	V
兼	517C	V
冇	5187	V
冊	518A	V
再	518D	V
冒	5192	V
冗	5197	V
冠	51A0	V
冤	51A4	V
冥	51A5	V
冬	51AC	V
冰	51B0	V
冶	51B6	V
冷	51B7	V
准	51C6	V
凊	51CA	V
凋	51CB	V
凌	51CC	V
凍	51CD	V
凝	51DD	V
凡	51E1	V
凰	51F0	V
凱	51F1	V
凶	51F6	V
凹	51F9	V
出	51FA	V
函	51FD	V
刀	5200	V
刁	5201	V
分	5206	V
切	5207	V
刊	520A	V
刐	5210	V
刑	5211	V
划	5212	V
列	5217	V
刜	521C	V
初	521D	V
刣	5223	
判	5224	V
別	5225	V
利	5229	V
刪	522A	V
刮	522E	V
到	5230	V
制	5236	V
刷	5237	V
券	5238	V
刺	523A	V
刻	523B	V
剁	5241	V
剃	5243	V
則	5247	V
剉	5249	V
削	524A	V
剋	524B	V
剌	524C	V
前	524D	V
剔	5254	V
剖	5256	V
剛	525B	V
剝	525D	V
剩	5269	V
剪	526A	V
副	526F	V
割	5272	V
創	5275	V
剷	5277	V
剺	527A	V
剾	527E	
剿	527F	V
劃	5283	V
劇	5287	V
劈	5288	V
劉	5289	V
劌	528C	V
劍	528D	V
