㔂	lân
捐	kuan
捒	sak, sat
捔	ka̍k
捕	póo
捗	pôo, pu, pô, pōo
捘	tsūn
捙	tshia
捥	ńg, uínn, áinn
捧	phóng
捨	siá
捲	kńg, kuínn
捶	tuî
捷	tsia̍t, tsia̍p
捻	liàm, liām
捽	sut, tsu̍t, su̍t
捾	kuānn
掀	hian
掂	tìm
掃	sàu, sò
掇	tuah, tua̍h
授	siū
掉	tiāu
掌	tsiáng, tsióng, tsiúnn, tsiónn
排	pâi
掔	khian
掖	iā
掘	ku̍t
掙	tsiānn
掛	kuà, khuà
掜	tau
掠	lia̍h, lio̍k
採	tshái
探	thàm, thàn
掣	tshuah, tshiat
接	tsiap, tsih
控	khòng, khàng
推	thui, tshui, the
掩	ng, am, iám, uinn, om
措	tshòo
掮	kháinn, khainn
掰	pué, pé
揀	kíng, káinn, kán
揆	kuî, puî
揈	hong
揉	liû, jiû
揌	sai
揍	bok
描	biâu, biô
提	thê, the̍h, thē, thue̍h, e̍h
插	tshah, tshap
揙	pinn
揚	iông
換	uānn, huān
揜	iap
握	ak, ap, at, ok
揣	tshuē, tshē
揤	tshi̍h, li̍h, tshī, ji̍h, jī
揫	tshiû
揬	tu̍h, tuh, tū
揭	kiat, khiat
揮	hui
揲	tia̍p
援	uān
揹	phāinn, pē
揻	ui
搉	khà
損	sńg, sún, suínn
搏	phok
搐	tiuh
搖	iô, iâu, ôo, oo
搙	jio̍k, lio̍k
搜	tshiau, soo
搝	khiú, giú
搟	hián
搢	tsìnn
搣	me, mi
搤	iah
搥	tuî
搦	la̍k
搧	siàn, sàm
搩	kiat
搪	tn̄g
搬	puann, puan
搭	tah, tap
搵	ùn
搶	tshiúnn, tshiónn, tshióng
摁	hmh
摃	kòng
摒	piànn
摔	siak, siàng
摖	tshè, tshuè
摘	tiah, tik
摠	tsáng
摧	tshui
摩	môo
摯	tsì
摳	kha̍unnh
摵	tshi̍k
摸	bong, moo, boo
摹	bōo, bôo
摺	tsih, tsí
摻	tsham, tshàm
撆	pih
撇	phiat
撈	hôo, lāu
撋	nuá
撏	jîm, lîm
撐	thenn, the
撒	suah, sat
撓	ngiáu
撙	tsún
撚	lián
撞	tōng
撟	kiāu
撠	giah, kiah
撤	thiat
撥	puah, puat
撨	tshiâu, tshâu
撩	liâu, liô
撫	bú, hú, hu
撬	kiāu
播	pòo, pò
撮	tshok, tsuat
撰	tsuān
撲	phok
撼	hám
擁	ióng
擂	luî
擅	siān
擇	ti̍k, to̍h
擉	tia̍k, thak, tiak, tak, ta̍k
擊	kik
擋	tòng
操	tshau, tsho, tshò, tshiau
擎	king, khîng
擒	khîm
擔	tànn, tann, tam
擗	phia̍k, phiak, pia̍k, phiang
擘	peh
據	kì, kù
擛	ia̍t
擠	tsik
擢	tioh
擤	tshǹg, tshìng, sǹg
擦	tshat
擬	gí
擲	tàn
擴	khok, phok
擷	khiat
擸	bā
擺	pái, páinn
擽	ngiau, iau
擾	jiáu, liáu
攀	phan
攄	lu
攆	lián
攏	lóng, láng
攑	gia̍h, kia̍h
攔	ânn, nuâ, lân
攕	tshiám, tshiam
攘	giāng, jiāng
攜	hê
攝	liap
攢	tshuân
攤	thuann, than
攪	kiáu
攬	lám
支	tsi, ki
攲	khi
收	siu
改	kái
攻	kong
放	pàng, hòng
政	tsìng
故	kòo
敆	kap
效	hāu
敉	bí
敏	bín
救	kiù
敗	pāi
敘	sū
教	kàu, kà, kah
敝	pē, pè
敢	kám, kánn, kiám, kán, ká
散	sàn, suànn, suánn, sán
敦	tun
敧	khi
敨	tháu
敬	kìng
敱	kháinn
敲	khà, khau
整	tsíng
敵	ti̍k
敷	hu
數	sòo, siàu
斂	liám
斃	pē
文	bûn, muî
斌	pin
斐	huí, hui
斑	pan, pian
斗	táu, tóo
料	liāu
斜	tshua̍h, tshiâ, siâ
斟	tsim, thîn
斡	uat
斤	kin, kun
斥	thik
斧	póo, pú, hú
斬	tsám, tsánn
斯	su, suh
新	sin
斷	tn̄g, tuān, tuàn, tuīnn
方	hong, hng, puinn, png
於	î
施	si, sì
旁	pông
旅	lí, lú
旋	suan, suân, tsuīnn, tsn̄g
族	tso̍k
旗	kî
既	kì
日	ji̍t, li̍t, gi̍t
旦	tuànn, tàn
旨	tsí
早	tsá, tsái
旬	sûn
旭	hiok
旱	huānn, uānn, hān
旺	ōng
昂	gông
昆	khun
昇	sing
昊	hō
昌	tshiong
明	bîng, bîn, miâ, mê, mî, muâ, mâ
昏	hng, hun, hūn, huinn
易	i̍k, ī, ia̍h
昔	sik
星	tshenn, tshinn, sing, san
映	ìng, iòng
春	tshun, tshing
昧	māi
昨	tsa, tsa̍h, tsoo, tso̍h
昭	tsiau
是	sī, tsī, sū
昱	io̍k
晁	tiâu
時	sî
晃	huánn, hóng
晉	tsìn
晏	uànn, àn
晚	buán, mńg
晝	tàu, tiù
晟	tshiânn, sīng
晡	poo
晨	sîn
晬	tsè
普	phóo, puh
景	kíng
晴	tsîng, tsênn
晶	tsinn, tsing
智	tì
晾	nî, nê
暇	hā
暈	ūn, hūn, n̄g
暉	hui
暑	sú
暖	luán
暗	àm
暝	mê, mî
暢	thiòng
暨	kì
暫	tsiām
暮	bōo
暱	li̍t, li̍k
暴	pō, po̍k, pok
暸	liâu
曆	li̍k, la̍h, lā
曉	hiáu, hiáng
曖	ài
曜	iāu
曝	pha̍k, pho̍k
曠	khòng
曰	ua̍t
曲	khik, khiau, khiok
更	kenn, king, kinn, kìng
曷	ia̍h, a̍h
書	su, tsu, si
曹	tsô
曼	bān
曾	tsîng, tsan, tsing
替	thè, thuè
最	tsuè
會	huē, ē, hē, kuè, uē
月	gue̍h, ge̍h, gua̍t, guē
有	ū, iú
朋	pîng
服	ho̍k
朒	tsut, lut
朔	sok
朕	tīm
朗	lóng, láng
望	bōng, bāng
朝	tiâu, tiau
期	kî, ki
木	bo̍k, ba̍k
未	bī, buē, bē
末	bua̍t, bua̍h, buah, buā
本	pún, pńg
札	tsat
朱	tsu
朴	phoh
朽	hiú
杆	kan, kuainn, kuann
杉	sam
李	lí
杏	hīng
材	tsâi, tshâi
村	tshun, tshuan
杓	sia̍h, tshiā, siā
杖	thn̄g, tiōng
杙	khi̍t
杜	tōo, tuā
杞	kí
束	sok
杭	hâng
杮	phuè, phè
杯	pue
杰	kia̍t
東	tang, tong
杴	hiam
杵	thú
杷	pê
松	siông, tshîng, sóng
板	pán
枇	gî, pî, khî, tî, pînn
枉	óng
枋	pang
析	sik
枕	tsím
林	lîm, nâ, ná, niá, nâi
果	kó, kué, ké
枝	ki, tsi
枯	koo
枴	kuái, kuáinn
枵	iau
架	kè, kà, khuè, khè
枷	kê, ka, kuê, kha, ké
枸	kóo
柄	pènn, pìnn, pìng
柏	pik, peh
某	bóo, móo
柑	kam
染	jiám, ní, liám
柔	jiû, liû
柙	kah
柚	iū
柝	kho̍k
查	tsa, tshâ, ta
柩	kiū
柫	put, kut
柬	kán
柯	kua, kho
柱	thiāu, tsū
柳	liú
柴	tshâ, tshâi, sâ
柵	tshik, sa
柺	kuáinn, kuái
柿	khī
栓	sng, tshng
栗	li̍k, la̍t
校	hāu, kàu
株	tu, tsu
栱	kông, kóng, kong, kióng
核	hi̍k, hu̍t, ha̍t
根	kin, kun
格	keh, kik
栽	tsai
栿	pha̍k, ho̍k
桀	kia̍t
桂	kuì
桃	thô, tô
桅	uî
框	khing, khong
案	àn, uànn
桌	toh, tooh
桐	tông, tâng
桑	sng, song, sáng
桔	kiat, kit
桮	pue, pe, puē
桱	kènn, kìnn
桶	tháng
桷	kak
桸	hia
桿	kuáinn
梁	niû, niôo, liông
梅	muê, muî, m̂, muâi, buê
梓	tsú
梔	ki
梗	kíng, kuínn, kénn
條	tiâu, liâu
梟	hiau
梢	sau
梧	ngôo, gôo
梨	lâi, lê
梭	so
梯	thui, the
械	hāi, kài, hâi
梳	se, sue
梵	huān
棄	khì
棉	mî, biân
棋	kî
棍	kùn
棑	pâi
棒	pāng
棕	tsang
棗	tsó
棚	pênn, pînn, pîng
棟	tàng, tòng
棠	tông
棧	tsàn, tsiàn
森	sim, som
棰	tshuê, tshê
棲	tshe
棺	kuann, kuan
椅	í
植	si̍t, ti̍t, tsi̍t
椏	ue, uāinn
椒	tsio, tsiau
椪	phòng
椰	iâ
椹	suî
楂	tsa
楊	iûnn, iông, iônn, tshiûnn, tshiû
楓	png, hong
楔	seh, sueh
楗	kīng, kāinn, kān
楚	tshó, tshóo
楝	līng, liān
楞	gông
楠	lâm
楣	bâi
楦	hùn
楨	tsing
楬	at
業	gia̍p
極	ki̍k
楷	khái
楹	ênn, înn, îng
概	khài, kài
榆	jiû, liû
榔	nn̂g, lông
榕	tshîng, tsîng, siông, iông
榛	tsin
榜	pńg, póng
榨	tsà
榫	sún
榮	îng
榴	liû
榻	thap, thah
槃	phuân
槊	so̍k
構	kòo
槌	thuî
槍	tshiunn, tshionn
槐	huâi
槓	kǹg, kòng
槔	oo
槤	liân
槳	tsiúnn, tsiónn
槺	khong
槽	tsô
樂	lo̍k, ga̍k, ngāu
樊	huân
樑	niû, niôo, liông
樓	lâu, lôo
標	piau, pio, phiau
樞	tshu, su
樟	tsiunn, tsionn, tsiong
樠	miâ
模	bôo
樣	iūnn, iōnn, iōng
樵	tsiâu
樸	phok, phoh
樹	tshiū, sū
樺	huâ, huā
樽	tsun
橂	tīng, tān, tāinn
橄	kan, kann, kám
橋	kiô, kiâu
橐	lok, lak, lop
橙	tîng, tshiâng
橛	kue̍h
機	ki, ke, kui
橫	huâinn, huînn, hîng, huênn
檀	tuânn, tân
檔	tóng, tòng
檜	kuè
檠	kiânn
檢	kiám
檣	tshiông
檨	suāinn
檫	tshat
檬	bóng
檯	tâi
檳	pin, pun
檸	lê
櫃	kuī
櫓	lóo
櫛	tsiat
櫞	înn, iân
櫥	tû
櫳	lang, lông
櫻	ing
櫼	tsinn
欄	lân, nuâ
欉	tsâng
權	khuân, kuân
欖	ná, lám
欠	khiàm
次	tshù
欣	him
欱	hop, hap
欲	beh, bueh, io̍k, boh
欶	suh
欸	eh
欹	khia
欺	khi
欽	khim
款	khuán, khuánn
歁	khám
歆	him
歇	hioh, hennh, heh
歉	khiàm, khiam, khiám
歌	kua, ko, kuai
歎	thàn
歐	au, io
歕	pûn
歡	huann, huan
止	tsí
正	tsiànn, tsìng, tsiann
此	tshú, tsiùnn, tsú
步	pōo
武	bú
歧	kî
歪	uai, uainn
歲	huè, hè, suè
歷	li̍k
歸	kui
歹	pháinn, phái, tái
死	sí, sú
殃	iong
殉	sûn
殊	sû
殕	phú
殖	si̍t, si̍k
殗	giān
殘	tsân, tshân, tsuânn
殭	khiong, kiong
殮	liām
殯	pin
段	tuānn, tuān
殷	ûn, un, in
殺	sat
殼	khak, khok
殿	tiān
毀	huí
毅	gī, gē
毋	m̄
母	bú, bó, bió, bóo
每	muí
毒	to̍k, thāu, ta̍k
比	pí, phí
毛	mn̂g, môo, moo, bûn, mî, mng
毫	hô, hôo
毬	kiû, khiû
毯	thán
毽	kiàn
毿	sàm
氅	tsháng
氈	tsinn
氏	sī
民	bîn
氓	bîn
氛	hun
氣	khì, khuì
氧	ióng
水	tsuí, suí
永	íng
汁	tsiap, tsap
求	kiû
汐	si̍k
汗	kuānn, hān
汙	u, ú, ù
汛	sìn
江	kang
池	tî
污	u
汨	bi̍k
汪	ong, na̍uh, ngáu, hóm, ha̍unnh
汫	tsiánn
汰	thuā, thài
決	kuat
汽	khì
沂	kîn
沃	ak
沈	sím
沉	tîm, tiâm
沌	tūn
沐	bo̍k, bak
沒	bu̍t
沓	ta̍uh, ta̍p
沕	bi̍t
沖	tshiâng, tshiong
沙	sua, sa, se, sie
沛	phài
沢	tshioh
沫	phue̍h, phe̍h
沬	bī
河	hô, ôo
沸	huì
油	iû
治	tī
沼	tsiáu
沽	koo
沾	tsam
沿	iân
況	hóng
泄	tshuā, siat
泅	siû
泉	tsuânn, tsuân
泊	po̍k, phik
泌	pì
泏	tsuat, tsuh, tsuah
泓	hông
泔	ám
法	huat
泛	huàn, hàm, huān
泡	phàu, pho, phò, pho̍k, phau
波	pho
泣	khip
泥	nî
注	tsù, tù
泮	phuàn
泯	bín
泰	thài
泱	iong, iann
泳	íng
洄	huê
洋	iûnn, iông, iônn
洒	sè
洗	sé, sué
洘	khó, khóo, khò
洛	lo̍k
洞	tōng
津	tin, tsin
洩	sia̍p, siat
洪	âng, hông
洲	tsiu
活	ua̍h, hua̍t, ua̍t
派	phài
流	liû, lâu
浙	tsiat
浞	tshio̍k
浡	phu̍h, phū
浣	uān
浦	phu, phú, phóo, phu̍h, phuh
浩	hō
浪	lōng
浮	phû, hû
浯	ngôo
浴	i̍k, io̍k
海	hái
浸	tsìm, tsìng
涂	tôo, thôo
涅	liap
消	siau
涉	sia̍p
涎	siân
涓	kuan
涗	suè, sè
涯	gâi
液	sio̍h, i̍k
涵	hâm, âm
涸	khok
涼	liâng, niû, lîng, liông
淇	kî
淋	lâm, lîm
淑	siok
淒	tshe
淘	tô
淚	luī
淝	huî
淡	tām, tānn
淨	tsīng
淪	lûn
淫	îm
淮	huâi
深	tshim
淵	ian
混	hūn
淹	im
淺	tshián, khín
添	thiam, thinn
清	tshing, tshinn, tshuinn
減	kiám
渝	lû, û, jû
渠	kû
渡	tōo
渣	tse
渧	tè
測	tshik
渭	uī
港	káng
渴	khuah, khat
游	iû
渺	biáu
渾	hûn
湄	bî
湖	ôo, hôo, ngôo
湘	siong
湠	thuànn
湢	pih
湧	íng, ióng
湮	ian
湯	thng, thong
湳	làm
溉	kài
源	guân
準	tsún
溜	liu, liù
溝	kau, koo
溡	tshî
溢	ik
溪	khe, khue
溫	un
溯	sòo
溶	iông, iûnn, iônn
溺	li̍k
溼	sip
滂	phōng, pōng
滄	tshong
滅	bia̍t
滇	tīnn, tian
滋	tsu
滑	ku̍t
滒	kō
滓	tái, lái, tsáinn
滬	hōo
滯	tù, tī
滲	siàm
滴	tih, tik
滷	lóo
滸	hóo
滾	kún
滿	muá, buán
漁	hî, hû, gû
漂	phiau, phiò, pio, phiàu
漆	tshat
漉	lo̍k, lok
漏	lāu, lōo
演	ián
漖	kà
漚	àu, áu, au
漠	bo̍k, bôo
漢	hàn
漩	suān, suan
漫	bān
漱	suah
漲	tiòng, tiùnn, tiònn
漳	tsiang
漸	tsiām
漾	iōng
漿	tsiunn, tsionn, tsiong
潑	phuah, phuat
潔	kiat
潘	phun, phuan, phuann
潛	tsiâm
潟	sik
潢	hông
潤	jūn, lūn
潦	ló
潭	thâm
潮	tiâu, tiau
潰	khuì, huī, huì
潲	siâu
潺	tshan
澀	siap
澄	tîng
澈	thiat
澍	tshū
澎	phênn, phînn
澗	kàn
澡	tsó
澤	ti̍k
澩	ha̍unnh
澳	ò, ù
澹	tâm
激	kik, ki̍k, khik
濁	lô, to̍k, ta̍k
濃	lông
濆	bùn
濛	bông
濟	tsē, tsè, tsuē
濤	tô, tôo
濫	lām
濱	pin
濺	tsuānn
濾	lī
瀆	to̍k
瀉	sià
瀑	po̍k, pho̍k
瀕	pîn
瀘	lū
瀚	hān
瀛	îng
瀟	siau
瀧	liông
瀨	luā
瀳	tshînn
瀾	nuā, lân
灇	tsâng
灌	kuàn
灑	sá
灘	thuann, than
灣	uân, uan
火	hué, hé, hónn
灰	hue, he
灶	tsàu, tsò
灸	kù
災	tsai, tse
炊	tshue, tshe
炎	iām
炒	tshá, tsháu
炕	khòng
炙	tsià
炤	tshiō
炫	hiān
炭	thuànn
炮	phàu
炯	kíng
炰	pû
炱	te
炳	píng
炸	tsà, tsia̍h, tsuànn, tshia, tsah
為	uî, uī
烈	lia̍t
烌	hu
烏	oo, u
烘	hang, hōng, hong
烙	lō, lo̍k
烤	khó
烰	phû
烹	phing
烽	hong
焐	ù
焗	ko̍k
焙	puē, pē
焚	hûn
焠	tshuì, tshuh
無	bô, bû
焦	ta, tsiau, tann, na
焰	iām
焱	iānn
然	jiân, liân
煉	liān
煌	hông
煎	tsian, tsuann
煏	piak
煖	luán
煙	ian
煞	suah, sannh, sat
煠	sa̍h, sah, sā
煡	khi̍t
煤	muê
煥	huàn
照	tsiàu, tsiò
煨	ue
煩	huân
煬	iāng, iông
煮	tsú, tsí
煽	siàn
熁	hannh, hah
熄	sit
熇	ho
熊	hîm
熏	hun
熔	iûnn, iông
熗	tshìng
熙	hi
熟	si̍k, sio̍k
熥	thang, thn̄g, lang, thuīnn
熨	ut
熬	gô
熱	jia̍t, lia̍t, jua̍h, lua̍h, juā
熹	hi
燃	hiânn, jiân, liân
燄	iām
燈	ting
燉	tūn
燒	sio
燕	iàn, ìnn, ian
燖	tīm
燙	thǹg
燜	būn
營	iânn, îng
燥	sò
燦	tshàn
燭	tsik, tsiok
爁	nah, nà
爆	po̍k
爍	sih, sinnh
爐	lôo
爛	nuā, lān
爪	jiáu, niáu, liáu, giáu
爬	pê
爭	tsing, tsinn, tsenn
爵	tsiok, tsik
父	hū
爸	pē, pah, pa, pâ, pá
爹	tia
爺	iâ
爻	ngâu
爽	sóng, sńg
爾	nī, niā, ní
爿	pîng, pîn
牆	tshiûnn, tshiông, tshiônn
片	phìnn, phiàn
版	pán
牌	pâi
牒	tia̍p
牘	to̍k
牙	gê, gâ
牚	thènn, thìnn, thì
牛	gû, giû
牟	bôo
牡	bóo
牢	tiâu, lô
牧	bo̍k
物	bu̍t, mi̍h, mih, mn̍gh, mī, mí, mn̄g, bìn
牯	kóo
牲	sing, senn, sinn
特	ti̍k
牽	khan, khian
犀	sai, se
犁	lê, luê
犅	káng
犒	khò
犢	to̍k
犧	hi
犬	khián
犯	huān
狀	tsōng, tsn̄g, tsiōng
狂	kông
狄	ti̍k
狎	a̍p
狐	hôo
狗	káu, kóo
狡	káu
狩	siù
狸	lî
狹	e̍h, hia̍p, ue̍h, ē
狼	lông, liông
狽	puē
猊	lî, jî
猌	gīn
猖	tshiong
猛	mé, bíng
猜	tshai
猩	sing
猫	bâ
猴	kâu
猶	á, iá, iah, ah, iáu, iu, iû
猾	ku̍t
猿	uân
獄	ga̍k, gi̍k
獅	sai
獎	tsióng, tsiáng
獠	liâu
獨	to̍k, ta̍k
獲	hi̍k
獵	la̍h, lia̍p
獸	siù
獺	thuah
獻	hiàn
玄	hiân
率	lu̍t, sut
玉	gio̍k, gi̍k
王	ông
玩	uán, guán
玫	muî
玲	lîng, lin
玻	po
珊	suan, san
珍	tin, tsin
珠	tsu
班	pan
珮	puè
現	hiān, hiàn
球	kiû
理	lí
琉	liû
琢	tok
琦	kî
琪	kî
琳	lîm
琴	khîm
琵	pî
琶	pê, pâ
琺	huat
瑄	suan
瑋	uí
瑕	hâ
瑙	ló
瑚	ôo, lôo
瑛	ing
瑜	lû, û, jû
瑞	suī
瑟	sit, sik
瑠	liû
瑣	só
瑤	iâu
瑩	îng
瑪	má, bé
瑯	long
瑰	kuì
璃	lê, lî
璇	suān
璋	tsiong
璜	hông
璞	phok
環	khuân, huân
璿	suân
瓊	khîng, khiông
瓜	kue, kua
瓠	pû, puî
瓢	phiô
瓣	bān, pān
瓤	nn̂g, liông, nn̄g, jiông
瓦	hiā, uá, huā, hāu
瓶	pân
瓷	huî
甄	tsin
甌	au
甍	bòng
甓	phia̍h
甕	àng
甘	kam, lam
甚	sīm
甜	tinn
生	sing, senn, sinn, tshenn, tshinn
產	sán
甥	sing
甦	soo
用	iōng, īng
甪	lut
甫	hú
甭	bàng
田	tshân, tiân, iân
由	iû
甲	kah, kap
申	sin
男	lâm
甸	tiān
町	ting
界	kài, kè, kuè
畏	uì
畔	puān
留	liû, lâu
畚	pùn, pūn
畜	thiok, thik
畝	bóo
畢	pit
略	lio̍k, lio̍h
番	huan, han, an
畫	uē, uī
異	ī, īnn
當	tong, tng, tang, tàng, tòng, tǹg
疆	kiong
疇	tiû
疊	tha̍h, thia̍p, thiap
疏	soo, se, sòo
疑	gî
疔	ting
疕	phí
疤	pa
疥	kuè, kè
疧	khî
疫	i̍k, ia̍h
疱	phā
疲	phî
疳	kam
疵	tshû
疶	tshuah
疸	thán
疹	tsín
疼	thiànn
疾	tsi̍t, tsi̍k
痀	ku
病	pēnn, pīnn, pīng
症	tsìng
痔	tī
痕	hûn
痘	tāu, tōo
痚	he
痛	thòng, thàng
痞	phí
痟	siáu, siau
痠	sng
痡	pôo
痢	lī
痣	kì
痧	sua
痰	thâm
痱	puì
痲	muâ, mâ, bâ
痴	tshi
痹	pì
痺	pì
痻	in, un, hun
瘋	hong, huang
瘍	iông
瘟	un
瘡	tshng, tshong
瘤	liû
瘦	sán, sóo
瘰	luì, lí, bí
瘸	khuê, khê, khue
瘼	mo̍oh, mòo, mōo, mooh, nà
癀	hông
療	liâu
癆	lô
癉	tan
癌	gâm
癖	phiah, phia̍h, phiā
癗	luî
癜	tiō, tiò
癡	tshi
癢	tsiūnn, tsiōnn, ióng
癧	la̍t
癩	thái
癬	sián
癮	giàn, ín
癰	ing
癲	tian
癸	kuí, kuì
登	ting
發	huat, puh, hua̍t
白	pe̍h, pi̍k, pē, pue̍h
百	pah, pik, peh
皂	tsō
的	ê, tik, ti̍k
皆	kai
皇	hông
皎	kiáu
皓	hōo, hō
皙	sik
皮	phuê, phê, phî, pî
皺	jiâu, liâu
盃	pue
盆	phûn
盈	îng
益	ik, iah
盍	khah
盒	a̍p, a̍h
盔	khue
盛	sīng, siānn
盜	tō
盞	tsuánn, tsán
盟	bîng
盡	tsīn, tsìn
監	kàm, kann, kam, ka
盤	puânn, puân, phuân
盦	âm
盧	lôo
盪	tōng, tn̄g
目	ba̍k, bo̍k, bui
盯	tìng
盲	bông, mê, môo, mî
直	ti̍t
相	sio, siòng, siong, sann, siunn, siùnn, siōng, siang, sionn, siu, siàng, siònn
盹	tuh
盼	phàn
盾	tún
省	síng
眉	bâi, bî
看	khuànn, khàn
真	tsin
眠	bîn, mn̂g, biân, mî
眨	tsha̍p
眩	hîn
眯	bî
眵	tshuh
眷	kuàn
眼	gán, gíng, kíng, ngái
眾	tsiòng, tsìng
睏	khùn
睚	kâinn
睛	tsing
睡	tsuē, suī, tsē
督	tok
睦	bo̍k
睨	gûn, gîn
睫	tsiah, tsia̍p
睭	tsiu
睹	tóo
睿	juē
瞅	tshiu
瞌	ka, kheh, khueh
瞞	muâ
瞪	tìnn, tènn
瞬	sùn
瞭	liâu, lió, liáu
瞳	tông
瞻	tsiam
瞿	khû
矇	bông
矛	mâu, môo
矜	king, khim
矢	sí
矣	ah
知	ti, tsai
矩	kí, kú
短	té, tuán
矮	é, ué
矯	kiáu
石	tsio̍h, si̍k, tsiō, sia̍h, siā
矸	kan
砂	sua, se
砃	tan
砉	huah
砌	kih
砍	khám
砒	phi, phînn
研	gián, gíng, ngái, nguí, gán
砛	gîm
砣	tôo, tô
砧	tiam
砰	phing
砲	phàu
破	phuà, phò
硃	tsu
硓	lóo
硝	siau
硞	kho̍k, khok
硩	teh
硫	liû
硬	ngē, ngī, gīng
硯	hīnn
硼	phîng, pîng
碇	tiānn, tīng, tiànn
碉	tiau
碌	lo̍k, li̍k
碎	tshuì
碑	pi
碓	tuì
碖	lún
碗	uánn, uáinn
碟	tia̍p, ti̍h
碡	ta̍k
碧	phik
碩	si̍k, sik
碭	thn̄g
碰	pōng, phòng
碳	thuànn
確	khak, khia̍k
碼	bé, má
碾	lián
磁	tsû
磅	pōng, phóng
磊	luí
磋	tsho
磐	puânn, phuân
磕	kha̍p
磚	tsng, tsuinn, tsuan
磟	la̍k
磨	buâ, bō, môo
磯	ki
磺	hông, n̂g
礁	ta, tsiau
礎	tshóo
礐	ha̍k
礓	kiang
礙	gāi, ngāi
礤	tshuah
礦	khòng
礪	lè
礫	li̍k
礬	huân
礱	lâng
示	sī
社	siā
祀	sū, sāi, tshāi
祈	kî
祉	tsí
祐	iū
祕	pì
祖	tsóo
祚	tsà
祛	kiā
祝	tsiok
神	sîn
祟	sui
祠	sû
祥	siông
祧	thiāu
票	phiò, phiàu
祭	tsè
祹	tô
祺	kî
祿	lo̍k
禁	kìm
禍	hō, ē
禎	tsing
福	hok
禦	gū
禧	hi
禪	siân, siâm, siān
禮	lé
禱	tó
禹	ú
禽	khîm
禾	hô
禿	thut, thuh
秀	siù
私	su, sai, si
秉	píng
秋	tshiu, tshio
科	kho
秒	bió, biáu
秘	pì
租	tsoo
秤	tshìn, pîng
秦	tsîn
秧	ng, iong, iang
秩	tia̍t
秪	te
秫	tsu̍t
秮	tai
移	î
稀	hi
稅	suè, sè
稈	kuáinn, kuínn
程	tîng, thîng, thiânn
稗	phē, phuē
稚	tī
稜	lîng, līng
稟	pín
稠	tiû, khit
種	tsíng, tsióng, tsìng, tsiòng
稱	tshing
稷	tsik
稻	tiū, tō
稼	kà
稽	khe
稿	kó
穀	kok
穆	bo̍k
穌	soo
積	tsik
穎	ínn
穗	suī
穡	sit, sik
穢	uè, è
穩	ún
穫	hi̍k
穴	hia̍t
究	kiù
穹	kiong
空	khang, khong, khòng, khàng
穿	tshīng, tshuan, tshng, tshuinn, tshiōng
突	tu̍t, thu̍t
窄	tsik
窈	iáu
窒	that
窕	thiáu
窗	thang, tshong
窘	khún
窞	thām
窟	khut
窣	su̍t
窩	o
窮	khîng, kiông, khing, kîng
窯	iô
窵	tiàu
窸	si, si̍h, sī
窺	khui
竄	tshuàn, tshǹg
竅	khiàu, khiò
竇	tōo
竊	tshiat, tshiap
立	li̍p
站	tsām
竟	kìng
章	tsiong, tsiunn, tsionn
童	tông, tâng
竭	kia̍t
端	tuan, tuann
競	kīng, kìng
竹	tik, tiok
竺	tiok
竿	kuann, kan
笆	pa
笈	ki̍p
笊	tsuá
笑	tshiò, siàu, tshiàu
笒	giám, gím
笙	sing
笛	ta̍t, ti̍k
笠	le̍h, lue̍h, lē, li̍p
符	hû
笨	pūn
第	tē
笱	kô
筅	tshíng, tsháinn, tshán
筆	pit
等	tíng, tán
筊	kiáu
筋	kin, kun
筍	sún
筐	khing, khong
筒	tâng, tông
答	tap, tah
策	tshik
筠	ûn
筧	kíng, khiò, kián
筩	thāng
筵	iân
箅	pín
箋	tsian
箍	khoo
箏	tsing
箔	po̍h
箕	ki
算	sǹg, suàn, suìnn
箠	tshuê, tshê, suî
管	kuán, kóng, kńg, kuínn
箬	ha̍h
箭	tsìnn, tsiàn
箱	siunn, sionn, siong
箴	tsim
箸	tī, tū
節	tseh, tsiat, tsat, tsueh
範	pān, huān
篇	phian, phinn
築	tio̍k
篋	kheh
篙	ko
篠	siāu, siáu
篡	tshuàn
篤	tauh, tok, táu
篦	pìn
篩	thai
篱	lē, luē, lî
篷	pông, phâng, hông, phông
篾	bi̍h, bia̍t, bī
簇	tshok
簡	kán
簪	tsiam
簫	siau
簷	tsînn, liâm
簸	puà, puànn
簽	tshiam
簾	lî, nî, liâm
簿	phōo, pho̍k
籃	nâ, lâm
籌	tiû
籍	tsi̍k
籐	tîn
籗	khah
籠	láng, lang, lâng, lam, lông, lāng, lóng
籤	tshiam
籬	lî
籮	luâ, lô
籲	io̍k
米	bí
粅	but
粉	hún
粒	lia̍p
粕	phoh, phok
粗	tshoo, thoo, tshio
粘	liâm
粞	tshè, tshuè
粟	tshik, siok
粧	tsng, tsong
粩	láu
粱	liâng, liông
粹	tshuì
粽	tsàng
精	tsing, tsiann, tsinn
粿	kué, ké, kue
糊	kôo, hôo
糋	tsìnn
糍	tsî
糕	ko
糖	thn̂g
糙	tshò
糜	muê, bê, muâi, mi, mai
糝	sám
糞	pùn, hùn
糟	tsau
糠	khng, khong
糧	niû, niôo
糰	thuân
糴	tia̍h, tiā, tia̍k, ti̍k
糶	thiò, thiàu
系	hē
糾	kiù
紀	kì, kí, khí
紂	tiū
約	iok
紅	âng, hông, â
紋	bûn
納	la̍p
紐	liú
